               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.15906,           0.0022381,                   0,           0.0018975,             0.15002,           0.0011897,          0.00029464,             0.15234,            0.001334,                   0,            0.070032,           0.0033298,           0.0033298
                   1,             0.14615,           0.0037595,                   0,             0.41251,             0.37442,             0.27915,            0.074838,             0.12852,           0.0031105,                   0,            0.039966,           0.0065972,           0.0065972
                   2,             0.13314,           0.0055326,                   0,             0.55086,             0.40644,             0.38284,              0.1031,             0.11939,           0.0033383,                   0,           0.0098338,           0.0097985,           0.0097985
                   3,              0.1295,           0.0058299,                   0,             0.63003,             0.46826,             0.46109,              0.1303,             0.11759,           0.0033336,                   0,            0.009703,            0.009703,            0.009703
                   4,             0.12753,           0.0060944,                   0,              0.6293,             0.46246,             0.46046,             0.13497,             0.11246,           0.0036669,                   0,            0.009703,            0.009703,            0.009703
                   5,             0.12565,           0.0064025,                   0,             0.63446,             0.47273,             0.48217,             0.14188,             0.11223,           0.0037087,                   0,            0.009604,            0.009604,            0.009604
                   6,             0.12493,            0.006487,                   0,             0.66656,             0.49189,             0.51534,             0.15559,             0.10973,           0.0037614,                   0,            0.009505,            0.009505,            0.009505
                   7,             0.12425,           0.0065439,                   0,             0.68361,             0.48648,             0.51227,             0.15446,             0.11125,           0.0036903,                   0,            0.009406,            0.009406,            0.009406
                   8,             0.12354,           0.0065648,                   0,             0.68723,               0.511,             0.53398,             0.16494,             0.10983,           0.0037011,                   0,            0.009307,            0.009307,            0.009307
                   9,             0.12332,           0.0065792,                   0,             0.69394,             0.50886,             0.53524,             0.16556,             0.10886,           0.0038181,                   0,            0.009208,            0.009208,            0.009208
                  10,             0.12333,           0.0066081,                   0,             0.70865,             0.51785,             0.54776,             0.17215,             0.10803,           0.0038103,                   0,            0.009109,            0.009109,            0.009109
